graveyard,archers,freeze,ice_wizard,prince,battle_ram,fire_fireball,blowdart_goblin,tornado,lightning,angry_barbarian,rage_barbarian,mega_minion,heal,order_volley,princess,3,0
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,minion,knight,musketeer,bowler,graveyard,zap,freeze,tombstone,3,0
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,fire_spirits,archers,ice_golem,mega_minion,building_inferno,rocket,building_xbow,the_log,3,0
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,2,0
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,giant,skeletons,the_log,zap,fire_fireball,musketeer,hog_rider,minion,2,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,mega_minion,skeletons,giant,graveyard,building_elixir_collector,the_log,poison,electro_wizard,0,3
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,bowler,three_musketeers,building_elixir_collector,battle_ram,mega_minion,goblin_gang,miner,the_log,2,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,building_inferno,miner,knight,poison,battle_ram,electro_wizard,goblin_gang,the_log,0,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,ice_golem,knight,archers,skeletons,building_inferno,poison,the_log,graveyard,0,0
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,the_log,archers,building_xbow,mega_minion,ice_golem,rocket,building_inferno,snow_spirits,2,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,knight,minion_horde,snow_spirits,skeletons,three_musketeers,miner,building_elixir_collector,the_log,1,0
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,hog_rider,fire_fireball,knight,snow_spirits,musketeer,skeletons,tornado,the_log,1,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,minion_horde,goblin_barrel,goblin_gang,miner,zap,building_inferno,princess,the_log,0,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,blowdart_goblin,princess,goblin_gang,rage_barbarian,freeze,zap,hog_rider,building_elixir_collector,0,0
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,snow_spirits,knight,electro_wizard,baby_dragon,graveyard,tornado,poison,bowler,2,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,three_musketeers,knight,goblin_gang,building_elixir_collector,snow_spirits,skeletons,hog_rider,zap,1,0
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,graveyard,giant,musketeer,mega_minion,skeletons,poison,the_log,building_elixir_collector,2,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,tornado,electro_wizard,graveyard,skeletons,bowler,poison,baby_dragon,knight,0,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,executioner,chr_balloon,tornado,giant,mega_minion,minion,zap,skeletons,3,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,zap,goblin_gang,minion,mega_minion,fire_fireball,the_log,chr_balloon,lava_hound,1,3
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,hog_rider,knight,bowler,lightning,baby_dragon,tornado,the_log,skeletons,0,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,giant,skeletons,the_log,zap,fire_fireball,musketeer,hog_rider,minion,1,2
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,minion,the_log,zap,musketeer,giant,minion_horde,miner,fire_fireball,3,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,2,1
goblin_gang,zap,hog_rider,building_elixir_collector,three_musketeers,knight,snow_spirits,the_log,lava_hound,chr_balloon,minion,mega_minion,goblin_gang,lightning,order_volley,building_elixir_collector,1,3
rage_barbarian,goblin_gang,electro_wizard,the_log,giant,lightning,minion,baby_dragon,three_musketeers,battle_ram,knight,minion,snow_spirits,building_elixir_collector,heal,zap,2,1
mega_minion,the_log,giant,electro_wizard,building_elixir_collector,skeletons,poison,graveyard,rocket,goblin_barrel,the_log,snow_spirits,princess,knight,goblin_gang,building_inferno,1,0
mega_minion,the_log,giant,electro_wizard,building_elixir_collector,skeletons,poison,graveyard,goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,1,0
mega_minion,the_log,giant,electro_wizard,building_elixir_collector,skeletons,poison,graveyard,giant,skeletons,the_log,zap,fire_fireball,musketeer,hog_rider,minion,3,1
mega_minion,the_log,giant,electro_wizard,building_elixir_collector,skeletons,poison,graveyard,fire_fireball,skeleton_horde,goblin_barrel,building_inferno,goblin_gang,hog_rider,the_log,order_volley,0,1
mega_minion,the_log,giant,electro_wizard,building_elixir_collector,skeletons,poison,graveyard,mega_minion,skeletons,giant,graveyard,building_elixir_collector,the_log,poison,electro_wizard,0,0
mega_minion,skeletons,giant,prince,building_elixir_collector,zap,poison,minion,three_musketeers,battle_ram,zap,building_elixir_collector,knight,minion,the_log,goblin_gang,1,3
mega_minion,skeletons,giant,prince,building_elixir_collector,zap,poison,minion,chr_balloon,miner,knight,tornado,snow_spirits,zap,minion,skeletons,3,0
mega_minion,skeletons,giant,prince,building_elixir_collector,zap,poison,skeleton_warriors,lava_hound,minion,chr_balloon,fire_fireball,bandit,mega_minion,zap,skeletons,1,3
mega_minion,skeletons,giant,graveyard,building_elixir_collector,the_log,poison,electro_wizard,baby_dragon,knight,executioner,tornado,graveyard,skeletons,poison,electro_wizard,3,0
skeletons,knight,tornado,electro_wizard,bowler,baby_dragon,graveyard,poison,baby_dragon,knight,executioner,tornado,graveyard,skeletons,poison,electro_wizard,0,1
skeletons,knight,tornado,electro_wizard,bowler,baby_dragon,graveyard,poison,knight,goblin_gang,goblin_barrel,the_log,princess,building_inferno,rocket,blowdart_goblin,3,0
skeletons,giant,the_log,electro_wizard,bowler,mega_minion,building_elixir_collector,lightning,mega_minion,minion,poison,battle_ram,goblin_gang,lava_hound,the_log,zap,3,0
skeletons,giant,the_log,electro_wizard,prince,mega_minion,building_elixir_collector,lightning,hog_rider,electro_wizard,goblin_barrel,fire_fireball,goblin_gang,the_log,building_inferno,skeleton_horde,1,2
mega_minion,skeletons,giant,graveyard,building_elixir_collector,the_log,poison,electro_wizard,the_log,princess,knight,building_inferno,rocket,goblin_barrel,goblin_gang,snow_spirits,1,0
mega_minion,skeletons,giant,graveyard,building_elixir_collector,the_log,poison,electro_wizard,musketeer,rocket,hog_rider,pekka,snow_spirits,skeletons,tornado,order_volley,3,1
mega_minion,skeletons,giant,graveyard,building_elixir_collector,the_log,poison,electro_wizard,the_log,archers,building_xbow,mega_minion,ice_golem,rocket,building_inferno,snow_spirits,0,1
mega_minion,skeletons,giant,graveyard,building_elixir_collector,the_log,poison,electro_wizard,the_log,archers,building_xbow,mega_minion,ice_golem,rocket,building_inferno,snow_spirits,1,0
rage_barbarian,goblin_gang,electro_wizard,the_log,giant,lightning,minion,baby_dragon,building_mortar,knight,archers,skeletons,snow_spirits,the_log,tornado,rocket,1,0
rage_barbarian,goblin_gang,electro_wizard,the_log,giant,lightning,minion,baby_dragon,the_log,fire_fireball,building_xbow,fire_spirits,building_inferno,snow_spirits,skeletons,minion,1,0
rage_barbarian,goblin_gang,electro_wizard,the_log,giant,lightning,minion,baby_dragon,the_log,goblin_gang,hog_rider,building_inferno,rocket,skeleton_horde,goblin_barrel,princess,3,1
goblin_barrel,building_inferno,knight,snow_spirits,rocket,the_log,princess,goblin_gang,tornado,bowler,poison,graveyard,skeletons,mega_minion,knight,baby_dragon,2,1
goblin_barrel,building_inferno,knight,snow_spirits,rocket,the_log,princess,goblin_gang,graveyard,skeleton_horde,fire_fireball,giant,inferno_dragon,ice_wizard,firespirit_hut,order_volley,0,1
skeletons,giant,the_log,electro_wizard,bowler,mega_minion,firespirit_hut,lightning,knight,goblin_gang,miner,electro_wizard,battle_ram,building_inferno,the_log,poison,1,0
mega_minion,skeletons,giant,graveyard,building_elixir_collector,the_log,poison,electro_wizard,giant,hog_rider,minion,skeletons,musketeer,fire_fireball,the_log,zap,2,1
goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,mega_minion,skeletons,giant,graveyard,building_elixir_collector,the_log,poison,electro_wizard,1,2
ice_golem,knight,archers,skeletons,building_inferno,poison,the_log,graveyard,goblin_gang,skeleton_horde,building_inferno,goblin_barrel,hog_rider,rocket,princess,zap,1,2
ice_golem,knight,archers,skeletons,building_inferno,poison,the_log,graveyard,dark_prince,skeletons,battle_ram,baby_dragon,order_volley,pekka,prince,zap,0,3
ice_golem,knight,archers,skeletons,building_inferno,poison,the_log,graveyard,goblin_gang,princess,order_volley,rocket,goblin_barrel,knight,building_inferno,the_log,1,3
