goblin_gang,order_volley,mega_minion,freeze,lava_hound,chr_balloon,minion,building_elixir_collector,lava_hound,chr_balloon,minion,mega_minion,goblin_gang,lightning,order_volley,tombstone,2,1
knight,bowler,graveyard,poison,skeletons,baby_dragon,electro_wizard,tornado,chr_golem,fire_fireball,zap,miner,mega_minion,baby_dragon,minion,goblin_gang,0,1
knight,bowler,graveyard,poison,skeletons,baby_dragon,electro_wizard,tornado,building_xbow,snow_spirits,fire_spirits,minion,skeletons,the_log,building_inferno,fire_fireball,0,1
minion,skeletons,lightning,baby_dragon,building_elixir_collector,chr_golem,the_log,electro_wizard,minion_horde,skeletons,hog_rider,minion,knight,order_volley,archers,lightning,1,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,goblin_gang,order_volley,mega_minion,freeze,lava_hound,chr_balloon,minion,building_elixir_collector,0,1
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,three_musketeers,battle_ram,snow_spirits,zap,skeletons,minion,knight,building_elixir_collector,0,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,hog_rider,musketeer,fire_fireball,tornado,knight,skeletons,snow_spirits,zap,1,1
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,three_musketeers,knight,goblin_gang,building_elixir_collector,snow_spirits,skeletons,hog_rider,zap,0,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,knight,tornado,bowler,skeletons,baby_dragon,poison,mega_minion,graveyard,1,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,three_musketeers,knight,battle_ram,skeletons,barbarians,snow_spirits,building_elixir_collector,zap,1,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,goblin_gang,order_volley,mega_minion,freeze,lava_hound,chr_balloon,minion,building_elixir_collector,3,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,fire_fireball,zap,knight,snow_spirits,skeletons,tornado,hog_rider,musketeer,1,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,tornado,skeletons,hog_rider,musketeer,knight,snow_spirits,the_log,fire_fireball,3,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,zap,goblin_gang,minion,lava_hound,fire_fireball,tombstone,mega_minion,chr_balloon,1,2
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,giant,archers,order_volley,knight,rage,zap,angry_barbarian,bomber,3,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,three_musketeers,battle_ram,knight,snow_spirits,building_elixir_collector,electro_wizard,skeletons,zap,1,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,dark_prince,chr_golem,graveyard,fire_fireball,building_elixir_collector,minion_horde,chr_witch,freeze,1,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,giant,fire_fireball,barbarians,minion,zap,order_volley,building_elixir_collector,three_musketeers,1,0
knight,bowler,graveyard,poison,skeletons,mega_minion,electro_wizard,tornado,chr_golem,musketeer,baby_dragon,goblin_barrel,mega_minion,the_log,fire_fireball,mini_pekka,1,0
