chr_golem,archers,dark_prince,chr_balloon,minion,order_volley,skeleton_horde,lightning,archers,the_log,order_volley,barbarians,minion,royal_giant,ice_wizard,knight,2,1
skeletons,snow_spirits,the_log,princess,knight,archers,rocket,building_mortar,building_elixir_collector,chr_golem,baby_dragon,zap,barbarians,mega_minion,order_volley,tornado,0,1
skeletons,snow_spirits,the_log,princess,knight,archers,rocket,building_mortar,minion,knight,zap,skeletons,chr_golem,building_elixir_collector,electro_wizard,angry_barbarian,1,0
skeletons,snow_spirits,the_log,princess,knight,archers,rocket,building_mortar,musketeer,giant,mega_minion,graveyard,zap,goblin_gang,fire_fireball,the_log,1,0
skeletons,snow_spirits,the_log,princess,knight,archers,rocket,building_mortar,giant,chr_balloon,lightning,skeleton_horde,mega_minion,minion,order_volley,goblin_gang,1,0
skeletons,snow_spirits,the_log,princess,knight,archers,rocket,building_mortar,rocket,musketeer,minion,zap,angry_barbarian,hog_rider,the_log,ice_golem,1,0
skeletons,snow_spirits,the_log,princess,knight,archers,rocket,building_mortar,hog_rider,building_elixir_collector,mini_pekka,princess,goblins,minion,zap,freeze,3,0
skeletons,snow_spirits,the_log,princess,knight,archers,rocket,building_mortar,fire_fireball,building_mortar,order_volley,skeletons,barbarians,building_elixir_collector,the_log,minion_horde,1,0
skeletons,snow_spirits,the_log,princess,knight,archers,rocket,building_mortar,royal_giant,the_log,minion,barbarians,archers,fire_fireball,ice_wizard,zap,1,0
skeletons,snow_spirits,the_log,princess,knight,archers,rocket,building_mortar,royal_giant,angry_barbarian,minion,archers,snow_spirits,zap,firespirit_hut,fire_fireball,1,0
skeletons,snow_spirits,the_log,princess,knight,archers,rocket,building_mortar,pekka,building_elixir_collector,poison,princess,rage,minion,three_musketeers,skeleton_warriors,2,0
tornado,knight,skeletons,baby_dragon,executioner,electro_wizard,graveyard,poison,knight,goblin_gang,building_inferno,goblin_barrel,princess,the_log,snow_spirits,rocket,1,2
tornado,knight,skeletons,baby_dragon,executioner,electro_wizard,graveyard,poison,zap,knight,mini_pekka,skeletons,archers,three_musketeers,fire_fireball,building_elixir_collector,1,0
