wizard,goblin_archer,heal,graveyard,the_log,chr_balloon,building_xbow,chr_witch,musketeer,three_musketeers,royal_giant,fire_fireball,building_elixir_collector,archers,goblins,ice_wizard,1,3
building_inferno,princess,the_log,fire_fireball,hog_rider,ice_golem,goblin_gang,goblin_barrel,bandit,building_inferno,battle_ram,the_log,miner,poison,goblin_gang,electro_wizard,0,3
goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,chr_golem,baby_dragon,lightning,building_elixir_collector,mega_minion,order_volley,minion,skeletons,2,0
goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,chr_golem,mega_minion,baby_dragon,rage_barbarian,the_log,building_elixir_collector,lightning,goblin_gang,2,1
goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,fire_fireball,skeleton_horde,goblin_barrel,building_inferno,goblin_gang,hog_rider,the_log,order_volley,2,1
goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,dark_prince,electro_wizard,prince,princess,building_elixir_collector,pekka,poison,the_log,1,0
goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,snow_spirits,hog_rider,lightning,tornado,skeletons,knight,executioner,the_log,0,1
goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,chr_golem,electro_wizard,rage_barbarian,baby_dragon,goblin_gang,the_log,lightning,building_elixir_collector,2,0
goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,tornado,knight,fire_fireball,hog_rider,skeletons,zap,snow_spirits,musketeer,0,1
goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,snow_spirits,skeletons,royal_giant,electro_wizard,executioner,lightning,tornado,the_log,1,0
goblin_gang,zap,building_inferno,rocket,hog_rider,goblin_barrel,skeleton_horde,princess,giant,minion_horde,bandit,electro_wizard,goblin_gang,miner,zap,the_log,0,1
