fire_fireball,building_elixir_collector,lava_hound,zap,baby_dragon,chr_balloon,mega_minion,skeletons,electro_wizard,minion,firespirit_hut,poison,the_log,knight,miner,pekka,3,1
battle_ram,fire_fireball,graveyard,tombstone,bowler,tornado,executioner,electro_wizard,hog_rider,poison,building_inferno,princess,goblin_barrel,goblin_gang,the_log,skeleton_horde,1,0
battle_ram,fire_fireball,graveyard,tombstone,bowler,tornado,executioner,electro_wizard,lava_hound,chr_balloon,order_volley,freeze,mega_minion,minion,building_elixir_collector,skeleton_horde,3,0
battle_ram,fire_fireball,graveyard,tombstone,bowler,tornado,executioner,electro_wizard,minion,the_log,zap,musketeer,giant,minion_horde,miner,fire_fireball,1,1
battle_ram,fire_fireball,graveyard,tombstone,bowler,tornado,executioner,electro_wizard,chr_balloon,lava_hound,mega_minion,skeleton_horde,order_volley,building_elixir_collector,goblin_gang,lightning,3,0
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,hog_rider,chaos_cannon,goblin_gang,minion_horde,mini_pekka,princess,the_log,miner,1,2
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,executioner,hog_rider,tornado,baby_dragon,knight,lightning,electro_wizard,skeletons,1,0
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,skeleton_horde,zap,princess,goblin_barrel,the_log,miner,building_inferno,goblin_gang,1,0
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,rocket,goblin_barrel,the_log,snow_spirits,princess,knight,goblin_gang,building_inferno,0,1
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,building_elixir_collector,goblin_gang,freeze,order_volley,lava_hound,minion,chr_balloon,mega_minion,0,1
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,tornado,electro_wizard,miner,executioner,rocket,skeletons,knight,building_inferno,1,0
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,princess,the_log,rocket,building_inferno,knight,goblin_barrel,goblin_gang,snow_spirits,1,0
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,miner,zap,three_musketeers,building_elixir_collector,snow_spirits,minion_horde,skeletons,knight,1,0
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,building_elixir_collector,knight,chaos_cannon,chr_balloon,skeletons,freeze,archers,order_volley,1,0
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,giant,miner,minion_horde,minion,skeletons,zap,the_log,fire_fireball,1,0
skeletons,freeze,building_inferno,knight,order_volley,graveyard,minion,electro_wizard,miner,order_volley,three_musketeers,building_elixir_collector,snow_spirits,minion_horde,skeletons,knight,3,0
